,K1,K2,Grey K1,Req. Dt,Derived From SO NO,Segment,Customer,Gry EDOD,Gry REDOD,Line Creation Dt.,DocNo.,Line No,Sch P/I Dt,Order Qty,Plan I/p Dt,SO No,SO Line no,SubSegment,K3,K4,K5,K6,Shade,Dely Dt1,Dely Dt,Lot Qty,Disp Planned,Bal to exe,Plan Qty,PPC Remark,LabRef.No,Peach Std.,Repeat Cops,Tech Remark,Final Dispo Comment,Marketing Comment,Exec. Closed,LabRef Check,KE Desc,Std Rec Dt,PP Comment,F370R001 Stock,F370B001 Stock,F380B001 Stock,F380B101 Stock,F350B001 Stock,F350B101 Stock,Baddi Stk,F400B001 Stock,F400B101 Stock,F340R001 Stock,Budhni Stk,Pref Factory,YD/PD,Factory,Grey Stock
328,14000748,BADDWJ,14000748BADDW,2/8/2021,,India Buying Houses,LINK UP TEXTILES PVT LTD,5/10/2021,5/10/2021,6/8/2021,BLS75_S75-21000217,40,6/10/2021,0,12/10/2021,,,GEORGE,CT+PNF,STDAWTD000,CT+PF,,,,,0,,"40,000","40,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,352,0,0,0,"1,898",0,"2,250","11,576","1,062",0,"12,637",21,PD,Baddi,2250.0
329,14000748,BADDWJ,14000748BADDW,2/8/2021,,India Buying Houses,LINK UP TEXTILES PVT LTD,5/10/2021,5/10/2021,6/8/2021,BLS75_S75-21000217,40,6/10/2021,0,12/10/2021,,,GEORGE,CT+PNF,STDAWTD000,CT+PF,,,,,0,,"40,000","40,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,352,0,0,0,"1,898",0,"2,250","11,576","1,062",0,"12,637",21,PD,Budhni,81718.96
330,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,20/07/2021,3/6/2021,BLM75_M75-21000009,130,10/10/2021,0,13/10/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Baddi,19014.5
331,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,20/07/2021,3/6/2021,BLM75_M75-21000009,130,10/10/2021,0,13/10/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Budhni,109145.88
332,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,25/10/2021,3/6/2021,BLM75_M75-21000009,140,10/10/2021,0,14/10/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Baddi,19014.5
333,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,25/10/2021,3/6/2021,BLM75_M75-21000009,140,10/10/2021,0,14/10/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Budhni,109145.88
334,A124A503,BAKCWLR4J,A124A503BAKCDWLR,9/10/2020,S75_S75-20000275/50,DE&B,C&A BANGLADESH LTD,15/01/2021,27/12/2021,9/10/2020,BLS75_S75-20000275,50,15/10/2021,0,15/10/2021,,,C & A,BSC4-PMMXF,STDAWTD000,,,,,,0,,"24,689","24,689","NA ORDER,Gr issue norms 15% as ravi Sir",,,,,,"Swapped with A180A149, Spill over Mar 21, Short Close of Last Year , will consume in next season",Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
335,A140E013,BAMMW,A140E013BAMMW,30/08/2021,,DE&B,BRANDIX APPAREL  LTD,13/10/2021,13/10/2021,30/08/2021,BLF85_F85-21000432,10,14/10/2021,146,15/10/2021,F85_F85-21000432,10,PVH (TUG),ST-SF,STDAWTD000,,,Caramel Brown - 211- 980,,,0,,146,146,,,,,,,,Unchecked,,,1/1/1900,,118,0,0,0,"3,410",0,"3,528",0,0,0,0,21,PD,,
336,A140E013,BAMMW,A140E013BAMMW,30/08/2021,,DE&B,BRANDIX APPAREL  LTD,13/10/2021,13/10/2021,30/08/2021,BLF85_F85-21000432,20,14/10/2021,229,15/10/2021,F85_F85-21000432,20,PVH (TUG),ST-SF,STDAWTD000,,,Classic White - 9716280,,,0,,229,229,,,,,,,,Unchecked,,,1/1/1900,,118,0,0,0,"3,410",0,"3,528",0,0,0,0,21,PD,,
337,A140E013,BAMMW,A140E013BAMMW,30/08/2021,,DE&B,BRANDIX APPAREL  LTD,13/10/2021,13/10/2021,30/08/2021,BLF85_F85-21000435,10,14/10/2021,128,15/10/2021,F85_F85-21000435,10,PVH (TUG),ST+NF,STDAWTD000,ST+SF,,11765 Freeform Stripe+White,,,0,,128,128,,,,,,,,Unchecked,,,1/1/1900,,118,0,0,0,"3,410",0,"3,528",0,0,0,0,21,PD,,
338,A220A052,BAKOJ,A220A052BDKO,30/06/2021,,RMGE,CELEBRITY FASHIONS LIMITED,26/08/2021,26/08/2021,30/06/2021,BLM75_M75-21000085,10,20/10/2021,0,16/10/2021,,,VF(Williamson Dickies),CT+NF,STDAWTD000,CT+SF,,,,,0,,"5,000","5,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,"6,742",0,"6,742","6,153",0,0,"6,153",21,PD,Baddi,6742.0
339,A220A052,BAKOJ,A220A052BDKO,30/06/2021,,RMGE,CELEBRITY FASHIONS LIMITED,26/08/2021,26/08/2021,30/06/2021,BLM75_M75-21000085,10,20/10/2021,0,16/10/2021,,,VF(Williamson Dickies),CT+NF,STDAWTD000,CT+SF,,,,,0,,"5,000","5,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,"6,742",0,"6,742","6,153",0,0,"6,153",21,PD,Budhni,6243.1
340,A124A503,BAKCWLR4J,A124A503BAKCDWLR,19/07/2021,,DE&B,C&A BANGLADESH LTD,2/12/2021,2/12/2021,19/07/2021,BLS75_S75-21000173,1,15/10/2021,0,16/10/2021,,,C & A,BSC4-PMMXF,STDAWTD000,,,,,,0,,"21,031","21,031",Order To Punch,,,,,,ESC(22-July),Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
341,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,15/10/2021,3/6/2021,BLM75_M75-21000009,150,18/10/2021,0,16/10/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Baddi,19014.5
342,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,15/10/2021,3/6/2021,BLM75_M75-21000009,150,18/10/2021,0,16/10/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Budhni,109145.88
343,A140D538,BAMC,A140D538BAMC,29/07/2021,,Brands,MOHAN CLOTHING CO PVT LTD,15/09/2021,15/09/2021,29/07/2021,BLS75_S75-21000205,10,1/10/2021,0,17/10/2021,,,BLACK BERRY,ST-AB,BRKUPAWTD0,,,,,,0,,"5,200","5,200",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,313,0,728,0,0,0,"1,041",0,0,0,0,21,PD,Baddi,2556.0
344,A130D059,BAMCJ,A130D059BAMC,17/08/2021,,India Buying Houses,SUMITHRA GARMENTS (PTE) LTD,11/10/2021,9/10/2021,17/08/2021,BLF83_F83-21000182,10,11/10/2021,874,17/10/2021,F83_F83-21000182,10,TOM TAILOR,ST-PF,STDAWTD000,,,TBC A130D059,25/10/2021,874-25/10/2021,0,,874,874,Ld std awtd,,Awaited,,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,Baddi,10412.0
345,A130D059,BAMCJ,A130D059BAMC,17/08/2021,,India Buying Houses,SUMITHRA GARMENTS (PTE) LTD,15/10/2021,9/10/2021,19/08/2021,BLF83_F83-21000182,20,16/10/2021,600,17/10/2021,F83_F83-21000182,20,TOM TAILOR,ST-PF,STDAWTD000,,,TBC A130D059,25/10/2021,600-25/10/2021,0,,600,600,Ld std awtd,,Awaited,,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,Baddi,10412.0
346,A132A415,BAMCJ,A132A415BDMCD,17/04/2021,,GAP,REFAT GARMENTS LTD,1/1/3000,16/10/2021,23/08/2021,BLM75_M75-21000007,71,24/10/2021,0,18/10/2021,,,BANANA REPUBLIC FACTORY STORES,ST-XF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,,,,Unchecked,,,1/1/1900,,-922,0,0,0,0,0,-922,"36,760",790,0,"37,550",21,PD,Baddi,1172.23
347,A132A415,BAMCJ,A132A415BDMCD,17/04/2021,,GAP,REFAT GARMENTS LTD,1/1/3000,16/10/2021,23/08/2021,BLM75_M75-21000007,71,24/10/2021,0,18/10/2021,,,BANANA REPUBLIC FACTORY STORES,ST-XF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,,,,Unchecked,,,1/1/1900,,-922,0,0,0,0,0,-922,"36,760",790,0,"37,550",21,PD,Budhni,57314.13
